place,date,new_time,log_conc
E,2022-04-29,73,6.681576332639066
G1,2022-05-02,90,3.4387506814155726
G1,2022-05-02,90,3.1360792365103647
G1,2022-05-02,90,4.230491068371252
G2,2022-05-02,90,2.05311548815089
E,2022-05-02,76,5.677518334596482
E,2022-05-02,76,5.791635216460279
E,2022-05-02,76,5.968999640343648
G1,2022-05-04,92,5.2241494881384325
G1,2022-05-04,92,4.291182341436839
G1,2022-05-04,92,4.825207302927309
G2,2022-05-04,92,4.5091205469411575
G2,2022-05-04,92,4.792098954928948
G2,2022-05-04,92,5.062835554099454
E,2022-05-04,78,5.341299216500362
E,2022-05-04,78,5.32685773385588
E,2022-05-04,78,5.968562972806801
G1,2022-05-06,94,6.287527925582545
G1,2022-05-06,94,6.319111444915473
G1,2022-05-06,94,6.316362801785552
G2,2022-05-06,94,7.244048365985587
G2,2022-05-06,94,7.496496242285547
G2,2022-05-06,94,7.286892461587677
E,2022-05-06,80,4.594424324474302
E,2022-05-06,80,4.703035406167725
E,2022-05-06,80,5.026317162979111
G1,2022-05-09,97,3.1983477470724275
G1,2022-05-09,97,3.656799136690785
G1,2022-05-09,97,3.5355414057622627
G2,2022-05-09,97,6.813003444524035
G2,2022-05-09,97,6.976602839111904
G2,2022-05-09,97,6.740827559270948
E,2022-05-09,83,5.494400374555496
E,2022-05-09,83,5.458946746345654
E,2022-05-09,83,5.330776501958036
G1,2022-05-11,99,6.133402327586168
G1,2022-05-11,99,6.105705314555867
G1,2022-05-11,99,5.968643835704378
E,2022-05-11,85,6.201983778773455
E,2022-05-11,85,6.199028182581335
E,2022-05-11,85,6.3515943296381545
G1,2022-05-13,101,4.751735678595039
G1,2022-05-13,101,5.1003614583251595
G1,2022-05-13,101,4.925637899318635
G2,2022-05-13,101,6.990587092251243
G2,2022-05-13,101,7.545621321634163
G2,2022-05-13,101,7.336096259675761
E,2022-05-13,87,8.791637380147037
E,2022-05-13,87,8.614747624091013
E,2022-05-13,87,8.581250237976024
G1,2022-05-16,104,3.0196640660624423
G1,2022-05-16,104,1.56890166750021
G1,2022-05-16,104,2.3889370125894382
E,2022-05-16,90,1.9593614012441696
E,2022-05-16,90,3.608111994600388
E,2022-05-16,90,2.8456258265316308
G1,2022-05-18,106,3.4305144637532266
G1,2022-05-18,106,4.182199878911088
G1,2022-05-18,106,3.912187058970628
G2,2022-05-18,106,3.766407835670937
G2,2022-05-18,106,3.5575370835457285
G2,2022-05-18,106,3.709041647885793
E,2022-05-18,92,6.597068702060031
E,2022-05-18,92,6.112540119965454
E,2022-05-18,92,5.925601276076623
G1,2022-05-20,108,3.3056592810858647
G1,2022-05-20,108,1.8551251411280207
G2,2022-05-20,108,6.664336262091345
G2,2022-05-20,108,6.366570318517381
G2,2022-05-20,108,6.534022460641434
E,2022-05-20,94,4.535344236123405
E,2022-05-20,94,4.401746510507038
E,2022-05-20,94,5.028907348702643
G2,2022-05-23,111,4.045913508939635
G2,2022-05-23,111,4.29872644972959
G2,2022-05-23,111,2.2939481731508966
