seed,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week
31,37,3251929.2082702033,30830.2385226454,1102128.4880774447,495679.19244872313,1167388.9348322689,64736.115837619334,30477.15006536903,128297.76331657775,143065.66902516264,89325.65614439329,21,22,14,25,17,14,24,123,60,31,7.981643186098335,7.218822323315133,8.696818676979946,7.7065100179663535,7.972708176581825,7.66438920326133,8.516571107673727,8.180739750128916,8.348951361700864,6.800245071076877,7.277030382183268,7.9977363156033245,8.067932647388792,37,TRUE,5
31,39,2324748.409114613,22288.133040351982,351045.12104689254,379297.9662269601,686121.8505743009,549016.3255072262,20528.283408504227,52867.51414160721,152144.80257245293,111438.4125963158,15,21,26,20,12,18,18,143,68,31,7.646006585374883,7.3262186812643755,7.771401893944142,7.528664643965539,8.19195456301862,6.9896165428830574,6.776661505433287,8.068465333414556,7.020995139271953,8.46158038956835,6.762576596456898,7.660714865703672,7.558697204238573,39,TRUE,5
31,41,2397901.4076372944,17853.6103101308,732707.925807698,919666.4454430346,96096.67966877943,75875.61592754048,234007.0367713219,18294.8899126379,165662.66095727117,137736.54283888056,10,24,13,20,24,19,16,149,78,31,7.676988704671274,7.645840212107424,7.903605966278968,7.805828286202936,8.346256691341816,7.221298918103917,7.862521844042348,7.64589544586454,6.865954729678776,7.777032030245652,7.281299043797984,7.710818444055434,7.790671179892753,41,TRUE,5
31,43,3627801.9661689736,133403.36982979375,372578.09772760014,2340501.024319382,302969.8548813972,79896.95689042818,35209.1506323983,17755.32840663612,182340.73900310855,163147.44447822936,17,20,22,15,12,18,19,157,96,31,8.09102170923871,7.195454977688522,8.131353711071343,7.059441658055323,6.82964858724784,7.820277997816041,8.004167728232456,8.933628049409664,7.681210135294641,6.938194676519067,9.216542361403468,8.10616790485401,7.583510471701395,43,TRUE,6
31,45,3276492.5296827215,14937.77432747359,804133.3417593427,105969.90070163335,1598555.176861683,207416.3874089904,205642.53152774437,11042.290349180135,181801.7017609926,146993.42498568108,11,14,15,20,14,24,13,159,108,31,7.989168262850477,7.612743227193999,8.40084612164738,8.468247082970127,7.790926100696276,7.788620351658202,7.6351022214499435,7.779110026169881,8.493496210899309,8.529153197948386,8.01145479476031,8.116281353893491,8.228249489807196,45,TRUE,6
31,47,1629824.0921480656,39255.53949489852,207302.66516786107,195123.20408077765,73802.81143528137,432204.3795338361,198106.44999470367,169753.60065165284,150626.0214254494,163649.42036360598,16,17,10,12,20,14,21,155,118,31,7.290866853391748,7.173989246042919,7.31975438413171,6.861703392371331,7.038884877237458,7.505459103982641,6.726807271709939,6.98712255431822,8.072281461303394,7.204658881406986,7.306424779058515,7.29199216249521,7.136182408718204,47,TRUE,6
31,49,4687355.021432629,31551.253413002854,72226.00698047916,3692633.906029588,209211.40747632124,173253.21366169435,42230.245369948876,28427.492971970998,250225.53990287858,187595.95562674344,21,11,11,14,17,11,16,157,137,31,8.347263225381496,8.605877853147708,9.170769094221482,7.974071319960274,8.8632598534945,8.642797636161218,7.917899356772716,7.400140216410409,8.856337516568207,9.027353947764379,8.271121792825824,8.60070812438715,8.698422686317883,49,TRUE,6
31,51,5184678.931110001,2911.66609246684,131335.46674200316,3919362.3685952974,119006.56175631784,109354.40247259899,487383.27744947467,16287.407457495974,240806.8149991856,158230.96554516302,12,12,18,14,7,15,17,150,141,31,8.448102680448207,9.129879258487115,7.995893847728291,7.7943802867298,8.425755104986962,8.544609301232239,8.891187885992029,8.163512289340071,8.121032125884863,7.80790373299419,8.595323701988923,8.44103677272317,8.49170959925221,51,TRUE,7
31,53,2736895.583569883,2449.4498585423285,294169.38277172594,191216.91552196216,1049206.0468787616,584562.4000277265,27034.39887160794,245626.49071672463,132761.62980747854,209868.86911535048,7,16,9,6,16,12,19,150,133,31,7.809219042698926,7.384163403403913,7.458999313364355,7.611435111929502,7.71436926688333,8.021043617623059,8.09185447409235,7.266637824950663,7.760795902737859,7.383500585694216,8.01309285681235,7.710977137026849,7.489387357011322,53,TRUE,7
31,55,2841450.908958669,232140.72805146352,77882.69799970798,731718.6264968975,933398.8927784313,27762.203495276313,309780.4854476493,15137.023252095149,304386.45176434587,209243.7996728003,12,13,13,10,9,13,15,145,140,31,7.846709568477063,7.835344519300605,8.431417657367376,7.852140252072099,8.691128095251083,7.547995271973716,7.895358540006136,8.11326599348806,8.646240802322627,7.896524325443363,8.747042636798254,8.248723223500356,8.080096959992884,55,TRUE,7
31,57,2961170.854078195,12305.701649691782,1679020.3231255934,44870.84170323461,339094.6208318079,151109.5400825773,226679.98088704047,3703.3730257566162,252332.7949215404,252053.67785095132,3,12,8,14,18,6,11,135,140,31,7.8879795122577185,7.841877673041291,7.259495275552385,7.245776093193018,8.156243084951063,8.325406691647201,7.41550977025082,7.650354512361606,8.34862882189623,7.5147149177036745,7.029294872267874,7.780410940139841,7.48972646441032,57,TRUE,8
31,59,1100264.7497990362,2087.354604792794,115489.86639880699,27350.797706422527,208878.97078261033,29211.36268283954,16885.597815612084,120215.01555072142,351888.78731792956,228256.99693930097,5,12,7,6,6,9,20,125,145,31,6.897945595804945,6.214649289661454,6.598673033824704,7.105657707811798,7.1787223194322385,7.573360469837021,6.5447127711365205,7.356583615578451,8.085563657911864,5.925058299937883,7.132284275334715,7.158140346344889,6.706448416302665,59,TRUE,8
31,61,1309074.6846251455,85780.625681946,189320.2240763617,275509.6118316291,54914.42168859353,31108.188315677857,58625.962656927724,2841.128096526218,388260.7537154701,222713.7685620129,9,5,10,12,7,8,4,124,143,31,7.071715303341968,7.629428601784602,6.705995978778764,7.769975371233021,6.805313096916574,7.480392966871349,7.9315879089090116,6.681731666824954,7.234721628693296,6.814424846609609,7.618577509026545,7.3673297610145845,7.466147156558152,61,TRUE,8
31,63,1532464.6748233347,150724.43492630406,7021.7738365846835,453121.8020386945,65800.64882642202,335966.7025435794,39834.31692757679,2587.8599668788233,352545.29165924236,124861.8440980509,5,3,12,7,12,5,5,108,144,31,7.2292721012006265,7.273799648423073,7.379516694939334,7.095194951981779,7.7581665287152575,6.961852197358409,6.655130518898867,7.156861656110184,6.988323555407663,6.911150909791652,7.477153394619011,7.2123927596953905,7.256295272674786,63,TRUE,8
31,65,2253183.4498036616,972.1819375211803,1514317.4644608586,159994.4004762668,119857.75348848518,21467.39542029917,34397.27474912623,6538.398409251515,228661.8899632285,166976.6908986223,8,7,7,4,8,11,6,94,136,31,7.61473884613944,6.989338019826751,7.945805007203179,8.320457512065452,7.415620569504248,8.178817795944727,7.353838929052056,8.32465903562758,7.746203126635062,8.08570502741572,7.569788422213502,7.879588580024978,7.890550876901503,65,TRUE,9
