seed,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week
40,25,264336.63955666224,1233.7018934446864,15396.749297898732,91781.72388558576,60371.05329662853,5899.554968987813,882.7622711881208,11549.879008176153,30460.63209597625,46760.582838776165,3,4,5,7,1,4,6,23,16,40,5.471862925011253,4.741771435315315,4.832762786943039,5.328017018639353,5.766549533638978,5.628074362636946,5.519715475119515,6.197050202490977,5.655635596468738,5.80579594173477,5.639108214496498,5.592468838064094,5.0022076172273096,25,TRUE,3
40,27,310665.9155324752,15040.214093189023,13709.92099399988,191526.07994759115,252.18999250680935,6956.202758662368,5206.02226101773,6463.645863250975,19369.097145991927,52142.5424762656,3,4,7,3,5,3,7,28,19,40,5.633357592542811,4.828187876475753,5.43338159699834,5.850870278035535,5.98558127672537,5.565324506172132,5.567670746323809,6.159249906306273,5.830813442019277,4.766717162248994,4.5986007820941035,5.580754526123812,5.454527397338651,27,TRUE,3
40,29,2756957.78625675,3296.076011171281,17946.600279995037,2597953.783372103,97896.33187694493,6194.1481126598,1729.0452889860867,1367.6037975263987,21332.79711272561,9241.40040463769,6,2,9,5,4,3,3,29,23,40,7.816522583771327,8.196950661960415,7.748882454972122,7.701733926987892,8.248814759412257,7.981470022542578,8.011762391274491,8.10536118855018,7.937136924991423,7.54050967445706,8.038525404453097,7.973118116619665,7.90851271014031,29,TRUE,4
40,31,1038418.6879377831,5565.693014865599,172733.51503946428,214131.9961878999,36001.123822978116,527774.1719858791,44645.2470056676,2396.746782577749,25566.022842644736,9604.171255805863,9,10,6,7,8,2,6,30,25,40,6.840093826988477,7.235669611616687,7.493662129233111,7.135090779419154,6.148557806065181,6.653834848461288,7.0754661249124915,6.768525848699404,6.415161082436081,6.924611874930881,7.014769737634664,6.954385771834261,7.299783966082662,31,TRUE,4
40,33,469472.3120290793,46565.174316684905,48791.202128088284,117869.33678561893,42686.006016974054,3620.893536696085,5145.949329809861,161371.8636523211,30276.207539289266,13145.67872359687,7,15,9,8,5,6,10,32,27,40,6.046248807937502,5.656310138738881,6.022438827356729,5.872065278645133,5.3407633286255916,6.501459436507654,6.1135645620887,5.798435866332183,5.412391781179814,5.593731455555172,5.346966920965661,5.832775126853315,5.861409016472438,33,TRUE,4
40,35,1351264.363028292,44063.8082972873,603476.2439240593,556959.9694175748,14737.438481899462,22903.59913729416,15353.279471104794,463.7558986544098,47563.31735249755,45742.95104792014,18,16,8,9,9,7,5,42,32,40,7.103435482677243,6.986020711207552,7.188363551404473,7.06255330713433,7.00387444464702,7.00339929033534,7.0832811541249505,6.9926032848093,7.124983988773454,7.0109359585691555,6.314960908014686,6.999290074889256,7.082483269986845,35,TRUE,4
40,37,1751516.4211890015,18149.423306205084,419597.5542598886,487650.09168489644,567258.5468075208,134937.09372248908,25507.340671652655,2699.5572787859587,49933.155533933896,45783.65792362817,17,15,17,11,8,9,7,52,32,40,7.3628767024361945,6.633641385884447,7.015185892631895,7.838168249850451,7.000323867797928,6.745292104654235,6.962282755765141,6.276052744888447,8.114896995385008,7.779396796916874,6.692500829338733,7.278287948309818,7.292839695273277,37,TRUE,5
40,39,2251399.938076472,17432.51621061382,562519.3380454053,1175427.3686489095,248801.18404120224,72382.60935375921,61232.02980425577,19160.437783702808,74390.98765631311,20053.466532309885,12,18,20,16,8,8,13,59,33,40,7.613946980758422,7.455250925035857,6.870228311138958,8.333216890248526,7.8711757157402555,6.7435928092108375,7.0724109137887385,6.721777121803573,7.60953222812334,7.792409168586608,6.984521527636943,7.4871547262331815,7.7336636949549185,39,TRUE,5
40,41,2447506.228380129,208931.11939149795,283963.6500256235,1406350.3711750298,306503.48371055146,44052.48292769887,43628.6992679717,52440.92251593688,80072.82109103714,21562.67827478347,21,11,17,20,14,12,15,59,43,40,7.6974644035363,8.369541939047194,7.7324597010770875,7.344366370542206,8.345270611774563,7.958708709330023,7.879601739020538,7.6887392837624144,8.063724281844488,7.810823649801948,8.032465159147575,7.96425808880164,7.906218169579209,41,TRUE,5
40,43,6884301.996569914,2532275.402254311,373862.1272911298,3156146.7336462587,218952.575246743,442759.68848303,26098.854501077676,6615.86362517992,106450.04079299871,21140.710729185812,21,17,13,20,15,16,11,82,42,40,8.731638510056216,9.754360939117745,8.899744799191934,8.777243657110265,8.390624731089966,8.910090816108827,8.746607917944642,8.434765476174233,8.040804539688597,8.851227251176962,8.20096627009181,8.817037393634418,9.244557596807207,43,TRUE,6
40,45,42942921.4247384,184678.37434491317,234862.0011005215,40522305.264769286,1488902.1079567599,126102.11803973158,233037.78791984537,14190.828270070251,115411.13989053026,23431.802446709135,23,25,15,19,18,19,11,100,49,40,10.562266588503482,9.82029747123188,10.821967666845827,10.334709255244649,10.846320604816823,10.058327926111245,10.596945612312316,10.634975532373883,10.724315810988841,10.587285355924305,10.313032749776243,10.520736084249549,10.407246751312066,45,TRUE,6
40,47,7692945.01613816,21642.831593609637,1049267.364177889,829598.4111047476,204675.92891296218,178253.09371145524,5028058.042618802,257327.13342170313,88044.07029182771,36078.14030516151,25,17,23,18,19,16,19,112,57,40,8.84269844051678,9.627527217527327,9.228857087342735,8.958563434887957,8.585551145681988,8.47172407836222,8.896683718213296,9.593322815640144,9.324612916586402,7.903906633348608,9.021165762724783,9.076105648549165,9.309821659996592,47,TRUE,6
40,49,3483916.792938209,50729.699283260205,64320.37989851118,248410.96150498715,1492094.9872831071,64646.18245111211,83858.53842673342,22243.48532127371,1380730.637390171,76881.92137905618,19,16,17,25,15,17,20,132,66,40,8.050551939405437,7.614830266710722,8.381004364776695,8.574534996360722,8.563782907977608,8.064704594783533,7.4151524875783625,8.553319807950519,7.694619925685488,7.224267945848915,8.88030724828279,8.235040733249013,8.267579740731911,49,TRUE,6
40,51,5387803.2536606,35605.169492844936,3079617.5083333733,285611.9719972698,266788.32049069135,47270.383861977294,28655.78098336947,197467.5345213907,1365439.9676395825,81346.61634010429,20,26,21,20,19,13,22,133,89,40,8.486532505552523,8.94447627144345,8.236440130140053,9.345571314388701,8.26531494222843,8.367709010007532,8.884155508384586,8.728218063950221,8.768739202718473,8.954444865894244,8.258854758445837,8.740454600176502,8.939822080949835,51,TRUE,7
