variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
log_genes_mean[50],5.005991199572252,5.025620343334827,0.39097665814445737,0.4046182298018562,4.381536302102423,5.657292113021276,0.9995467863660081,1015.2547806691866,774.2078049666612
log_genes_mean[51],5.022706336481241,5.044015994483574,0.4003445287194361,0.4119113027025093,4.365137300754265,5.688040865714574,1.0000401695082894,1052.5488772318045,736.2066393057781
log_genes_mean[52],5.054835398767137,5.061416250168594,0.42836885825025695,0.45468279316878485,4.365963824781493,5.750380479190022,1.0001583561176557,1083.2405644006787,803.7783889759942
log_genes_mean[53],5.095159936513009,5.096571560172887,0.47511166947449673,0.5060699217646027,4.343189628061183,5.846444088931717,0.9999284504958499,1154.3978507701008,867.4131500975197
E[0],13.019667123921774,13.010525680377203,0.6525727612185734,0.6649726814487094,11.953506454261573,14.143209001876635,1.0096844326661192,3000,501.1965288044144
E[1],13.138783612023584,12.969136046198686,2.329802874301342,2.3128452305649554,9.579362202184251,17.238569063562046,0.9995490969237061,3000,718.0149707844994
E[2],13.465477553031958,12.866400761104924,4.570728477842238,4.336802335210593,7.124363807455765,21.452157351261455,1.0136458583021457,2489.326388288032,646.4048573974367
E[3],13.737361234172926,13.130964462851903,4.59728378145182,4.45943638678794,7.1624049958275124,21.935348313394115,1.0131995179140887,2551.26797900958,596.0743528408134
E[4],14.071172948246726,13.468419902607621,4.817551341916322,4.311874322284191,7.207204416132036,22.552617152932427,1.0159525917793448,2612.9153041565696,643.5376387439798
E[5],14.604837129298998,13.961973174198341,5.300587354223126,5.189591612488797,7.319847331320346,24.258959017097787,1.005816188014369,3000,593.0630020548199
E[6],15.358331936635587,14.61978249029045,6.194384151385635,5.702109004216847,6.56966022785899,26.017197290024196,1.0146081720107056,2891.1933663078203,660.2397867276615
E[7],15.902290096639637,15.25802741982125,6.2758273792316235,5.972187026537138,7.2712973638378315,27.17476371867428,1.0198470665358659,2806.689798088456,780.526053175565
E[8],16.713791506498048,15.914583490301062,6.521197499525243,5.997857808480366,7.698781617831658,28.765884612910057,1.0188442850773143,2357.932681550046,713.4929737770915
E[9],18.032363729453692,16.969378702045184,7.703190956099884,7.078358805292168,7.785541547745295,32.77456046343058,1.0016175129957812,2710.303073617405,667.2604239801937
