variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
log_genes_mean[13],3.128698425165191,3.1330794543232496,0.3509767162611366,0.34910872483912575,2.534188795014148,3.699400941689404,0.9992090913067863,1376.2855096714102,818.1155541890572
log_genes_mean[14],3.148023887520986,3.1629289663089892,0.34379532359757614,0.34266273725834223,2.5474302753377516,3.694334274206004,1.0017777142597581,1469.1620911252137,880.2207953695017
log_genes_mean[15],3.199207030202737,3.2140200813771567,0.33772145262720726,0.3330299361157442,2.651637050750755,3.7452855097585007,1.0050154221410945,1655.1657260892173,1012.6443432597317
log_genes_mean[16],3.2092633978613225,3.2204506326398095,0.3453954305293304,0.32438302339135733,2.620468280860536,3.760909403598894,0.9998965130957888,1734.3621728382834,902.6567687292942
log_genes_mean[17],3.223746836868804,3.233054453776089,0.3539123092702079,0.35601908802267457,2.6464497512065415,3.8152573417992484,0.9998916089516872,2040.3366128703701,987.2497694635942
log_genes_mean[18],3.24594938275025,3.2593859724891967,0.357452082400685,0.34361319775588445,2.627254022773274,3.8087750600910733,1.000705857162288,1719.0065959638912,821.2531344664454
log_genes_mean[19],3.3360943787431525,3.3476370209666833,0.3493253517841366,0.34628616830161546,2.738405071171197,3.886965234889696,1.0001933279121595,1361.6098772942787,903.4395381340086
log_genes_mean[20],3.367994689180667,3.384595095349365,0.3425653887812165,0.3441765898107682,2.7601218095416744,3.8881126685834753,1.001980340541331,1247.7295164947598,963.2009957331078
log_genes_mean[21],3.5336973582499427,3.546991315385257,0.3421774826331411,0.32464141720634093,2.94573906772248,4.086662225093962,1.000875060403945,1757.4911907149192,981.4928920917976
log_genes_mean[22],3.550467695685216,3.5541915617238256,0.3415352550978072,0.3246187303780059,2.965473011874871,4.093241968435428,1.0017222895844256,2153.510939746713,980.6055057070545
log_genes_mean[23],3.5768961464469102,3.5987696150774555,0.3335455194489899,0.32958989369827296,3.0088361622110416,4.131283684101079,1.0003408267634026,1822.2851269299756,950.888525298349
log_genes_mean[24],3.659679160332728,3.667329517804311,0.33322609282956184,0.31268434076072477,3.0704679579868492,4.200137135746359,1.0044291658304016,1559.0391694505583,1066.800163487379
log_genes_mean[25],3.684943539437868,3.6967643111712647,0.34295005666958905,0.33488956252075697,3.0933860892846594,4.24546483024243,1.0055256598314681,1402.3980901043763,937.0166971213778
log_genes_mean[26],3.7131947103333562,3.718652534655143,0.3452990847796789,0.32053210008645194,3.134907648433522,4.267927188224026,1.0055425023022277,1443.8086041944935,975.1230334347244
log_genes_mean[27],3.764248370935156,3.7678394128407486,0.33849402476461726,0.3210850514805973,3.1981862683207454,4.303712975805779,1.0012606802279576,1424.0295567254277,979.5198656280262
log_genes_mean[28],3.8676417081357295,3.878822987347033,0.3417015604633388,0.3473388911879476,3.278850231127345,4.400306705194223,1.0003147874851865,1882.525502125199,811.4811246977131
log_genes_mean[29],3.8997483502146717,3.9111175397193776,0.33735941838229294,0.3172186759770234,3.316480235132276,4.424966502529133,1.001719765416619,1617.5409639498814,974.9893942123233
log_genes_mean[30],3.935344853616058,3.9448978314652647,0.3334469729290483,0.3159843878367284,3.332120794493522,4.4661111185612725,0.9996081093321898,1518.4239903963628,872.1698606722914
log_genes_mean[31],4.095163786490691,4.102116380452037,0.34157127281042926,0.31886719792628204,3.5228671381716636,4.627878900766784,1.000824183217485,1620.2586425158186,704.1516774164111
log_genes_mean[32],4.132337323910092,4.142459877564994,0.341889043284033,0.324271760568404,3.555338763175976,4.680834361677493,1.0006500695329357,1665.8126276179294,736.528458727675
log_genes_mean[33],4.167614789219097,4.170031002116445,0.3334483023500358,0.3173862627607734,3.591064161085713,4.7123133663239605,1.001352932742417,1853.1900323026964,814.2088293911902
log_genes_mean[34],4.337410305729873,4.343739545217268,0.3289957110647384,0.3290105234867814,3.7694551297867966,4.8452988436416105,1.0027142150212383,1835.7628514014973,795.6086708814597
log_genes_mean[35],4.3674123584796325,4.372919654980775,0.3255032609606411,0.33134426011833035,3.8145561461988544,4.868687756741966,1.0004036266103908,1775.5221734616898,841.4583892487038
log_genes_mean[36],4.429404520568637,4.436459858046343,0.31910964663708496,0.3273088035795275,3.8969160753414886,4.930949520431086,1.0020060191372653,1692.497112430929,910.1793679937973
log_genes_mean[37],4.514113351717732,4.525711734558154,0.32003111043175114,0.3316428965957664,3.9819234577061025,5.015583100281199,1.0061336905928338,1571.9667959581489,822.1176048639471
log_genes_mean[38],4.5457065645806445,4.5470405050017995,0.318218997020679,0.3237179844254799,4.0104059084336,5.055295193782232,1.0058717940884352,1329.7616888582318,598.5820742872198
log_genes_mean[39],4.57723769871195,4.5827887690982445,0.31782939661755255,0.3266617064425221,4.032284542659932,5.081230773196459,1.0007796086012475,1461.61200937486,829.2811524265553
