seed,min_rhat,max_rhat,min_ess_bulk,max_ess_bulk,min_ess_tail,max_ess_tail
62,0.9974619169312012,1.0140314353705595,810.3388133297502,1715.3169584102347,531.6459114566222,1036.7019437103925
63,0.9977242472596471,1.0110333813622392,886.9163230315579,1560.6239071831258,529.0396545103612,1057.0051166058793
64,0.9981340604826628,1.0110135633902513,634.2511231186459,1400.6265316001904,430.41499253510665,1071.409482381884
65,0.99727255462708,1.013651170181122,541.3263200998889,1403.195742198052,469.1680068709612,1082.7591996930685
66,0.9982020016046772,1.0103135193559476,859.5634839783319,1457.7937583787768,319.26868578942134,1074.374551427211
67,0.9984624889399426,1.0171473910891955,664.3705960409974,1308.1851862654069,455.1518463566635,980.5838106814348
68,0.998550441142932,1.0161883112835202,849.269144709814,2078.780290796351,478.2716605685331,1068.5159876800951
69,0.9976810941175832,1.014207090121631,934.1678814661976,1733.9213445877197,568.8994794852086,1034.7003268353617
70,0.998583542353458,1.0183346724433902,698.7583413679175,1596.4273469064228,508.3136802038872,1035.1780858943853
71,0.9975691187007918,1.0109322044659044,775.606031804515,1354.8530444688809,477.7908646118004,1002.801433093276
72,0.9994737063591752,1.0059925149778042,1670.2297491086529,5146.058705051563,1390.835992501119,3804.908503249006
73,0.997931775314218,1.0226343284908743,423.1574584955339,1383.4583243167622,158.38248069896358,1035.2703438390731
74,0.9982706112174052,1.0083784506262277,953.7621337348716,1440.2277414966695,531.300370034814,1037.333571905695
75,0.9977405577133877,1.018814150737441,648.6125959067602,1657.882658167607,451.712777576464,1077.216044119175
76,0.9970422640205292,1.0157359535528527,901.4806183582796,1726.2410811016946,502.9751809973296,1083.3701434557413
77,0.9983665348188072,1.0147389349887252,753.1750918801187,1522.8348292032981,391.92929872476446,1026.085828218076
78,0.9967767646438328,1.016408271787372,865.7184178526671,1937.2807228151437,517.944444471091,1085.014188285924
79,0.9971334648750564,1.0100569679905127,731.4220956775242,1509.1049734332676,539.4281175688092,1038.494507682214
80,0.9971912680821982,1.0148928264834114,546.4948387806692,1630.4421710489655,368.1292926347373,1098.800753609842
81,0.99747067181646,1.016257341193438,777.8105289074479,2098.5552396010107,473.2885932323317,1038.9176158936534
82,0.9975725736158538,1.0095001887615032,824.3598219276297,1582.0854070044684,589.586843390323,1058.728963233941
83,0.997698387099719,1.0124216375510628,517.163134922798,1279.9764304192558,341.4282977089663,989.2634129870412
84,0.998062499951987,1.0098365700463432,631.6465424440726,1607.303496861678,340.9350928699599,1032.3304767476309
85,0.9976317253680628,1.0127049581157002,736.0202583766633,1330.0792112381828,516.4359194598022,1027.609715505811
86,0.9973657357032611,1.0206552927063977,241.83334261031243,1237.9136983634032,111.40340972932528,1035.4339956939762
87,0.9975433174755544,1.0120306412285118,591.2087800223482,1330.6655353667843,270.9515545105327,1035.199546225581
88,0.997984423078332,1.0160535853431891,700.6642152807115,1286.897042738015,313.2977331888109,1029.8089826857597
89,0.9982278037489802,1.0137700441985849,760.347060099991,1260.921846597398,330.6204167727477,1032.5314480674438
90,0.997927138237092,1.024998851092877,596.7972721224448,1358.5377157666308,191.66758183374793,992.8220981424398
91,0.9977301047282854,1.0124116473212688,744.772579351308,1595.307162009614,548.5934161543528,1062.568614610252
92,0.9974962661141,1.0096576252768557,805.6530525470495,1612.196853084334,540.4981311832225,993.6792352801266
93,0.9981413049821322,1.010815161982076,789.7806635834878,1634.9109621343118,516.5545008301164,1083.03674426512
94,0.9972658452399424,1.0124984710892446,739.0333044632545,1385.0300693206782,317.67764976023534,992.4442729733915
95,0.99829317331093,1.0138195379079378,678.5334625539949,1473.8308883082634,203.25966635958068,1031.1566870872307
96,0.9994996622588534,1.002287682352713,1893.6328648860172,5976.866607443732,2101.0733060470743,4014.3220622779354
97,0.9974911201813116,1.0147471757066782,773.0491980037511,1474.5230208638077,389.0055598069381,1013.6804122995844
98,0.9971103151118966,1.0123144897820384,904.7352945251512,1576.3161943782222,327.39286779436844,1074.7981957698078
99,0.9989371197050544,1.0122819500820148,494.654836916894,1322.9615688054662,198.7147562108109,1029.8887087384353
100,0.997467390806972,1.0198822927078373,410.9146318894393,1522.503792359758,135.09535405735488,989.496562180288
