new_time,name,value,.lower,.upper,.width,.point,.interval
66,log_copies,5.268439854848289,3.2727745082338515,7.257962023573946,0.8,median,qi
69,log_copies,5.254707787342859,3.3178962395834612,7.19940386667807,0.8,median,qi
71,log_copies,5.365695915234195,3.4198611077224226,7.263842881505237,0.8,median,qi
73,log_copies,5.439623846465995,3.4449666184877326,7.3390860369769095,0.8,median,qi
76,log_copies,5.4799339061628025,3.4834753620778667,7.428372809735052,0.8,median,qi
78,log_copies,5.543282537706197,3.5883190562754823,7.549300446534505,0.8,median,qi
80,log_copies,5.540978057241946,3.542981219041614,7.491465997965658,0.8,median,qi
83,log_copies,5.598449326265336,3.702702670150004,7.547583921820738,0.8,median,qi
85,log_copies,5.648450612019161,3.6687671001815043,7.625475585805023,0.8,median,qi
87,log_copies,5.652999823123443,3.655147385444223,7.5858819514268205,0.8,median,qi
90,log_copies,5.7167049958793505,3.8096526666672075,7.68894948441438,0.8,median,qi
92,log_copies,5.734314041200076,3.7348029625446673,7.716272895847925,0.8,median,qi
94,log_copies,5.727889478474664,3.7214357539461136,7.71420214985306,0.8,median,qi
97,log_copies,5.780601003390901,3.774253396070911,7.8240941587263855,0.8,median,qi
1,log_copies,3.3167558538510553,0.06757970029653138,6.542022664676551,0.95,median,qi
8,log_copies,3.0551425425515104,0.04370105615146403,6.030527298413158,0.95,median,qi
13,log_copies,3.112744977834936,-0.05194855753908096,6.045762090428386,0.95,median,qi
15,log_copies,3.1859998861991414,0.056637600279903756,6.288867405845205,0.95,median,qi
17,log_copies,3.2656203247696647,0.027632436338412465,6.365445710892452,0.95,median,qi
31,log_copies,3.626881670298538,0.5087077946698599,6.717940820508897,0.95,median,qi
43,log_copies,4.323131457725497,1.1917277185252897,7.435821926096925,0.95,median,qi
45,log_copies,4.360178305156084,1.2431967835312012,7.332929261858919,0.95,median,qi
50,log_copies,4.621674724115293,1.5770627246913989,7.657658778817284,0.95,median,qi
52,log_copies,4.764134716818782,1.5867204558869663,7.812219405782733,0.95,median,qi
55,log_copies,4.805215221794987,1.7023910171238155,7.857085349423414,0.95,median,qi
57,log_copies,4.889925167690528,2.0307752828835803,7.853934795424608,0.95,median,qi
59,log_copies,5.020356010210293,2.0697013806401667,7.941719647026456,0.95,median,qi
62,log_copies,5.084180641704257,2.1034598513148315,8.133442927299157,0.95,median,qi
64,log_copies,5.135959183548585,2.188657534161354,8.089760561762565,0.95,median,qi
66,log_copies,5.268439854848289,2.1488027825442018,8.341094654932801,0.95,median,qi
69,log_copies,5.254707787342859,2.324573915521427,8.2692409441502015,0.95,median,qi
71,log_copies,5.365695915234195,2.204602774354918,8.253463696707374,0.95,median,qi
73,log_copies,5.439623846465995,2.3114056495227095,8.422135409318727,0.95,median,qi
76,log_copies,5.4799339061628025,2.49429018709864,8.419839615503566,0.95,median,qi
78,log_copies,5.543282537706197,2.5739648020693906,8.578239085418693,0.95,median,qi
80,log_copies,5.540978057241946,2.5271929413705996,8.576750410933533,0.95,median,qi
83,log_copies,5.598449326265336,2.6090536497979904,8.627884075389014,0.95,median,qi
85,log_copies,5.648450612019161,2.6532496923318196,8.581976630173237,0.95,median,qi
87,log_copies,5.652999823123443,2.5622440220003835,8.635262798987199,0.95,median,qi
90,log_copies,5.7167049958793505,2.6991609508272467,8.701295748366157,0.95,median,qi
92,log_copies,5.734314041200076,2.6732814831256877,8.844056541362148,0.95,median,qi
94,log_copies,5.727889478474664,2.5979841568149094,8.845569730804343,0.95,median,qi
97,log_copies,5.780601003390901,2.6967877324222114,8.917411077057546,0.95,median,qi
