new_time,name,value,.lower,.upper,.width,.point,.interval
13,log_copies,2.930014900289261,-0.09651882935079628,5.939546021333321,0.95,median,qi
15,log_copies,3.09250181362496,-0.011655707417646259,6.100411853018785,0.95,median,qi
17,log_copies,3.1389958657038797,0.1572695370096516,6.1364637861508315,0.95,median,qi
31,log_copies,3.772548095450407,0.8153492789580336,6.802091532500698,0.95,median,qi
43,log_copies,4.416914840882232,1.385957373901654,7.526823072628961,0.95,median,qi
45,log_copies,4.473801632420598,1.3890471054165343,7.4327065642566055,0.95,median,qi
50,log_copies,4.73012226730024,1.716711441672013,7.745127322677582,0.95,median,qi
52,log_copies,4.842835366377765,1.7961012544552324,7.897301016293353,0.95,median,qi
55,log_copies,4.9032365374282705,1.8819641907219289,7.92029948260599,0.95,median,qi
57,log_copies,5.022773882314599,2.0826912849064256,7.930295911980675,0.95,median,qi
59,log_copies,5.090115634891297,2.148543440389414,8.021883026226355,0.95,median,qi
62,log_copies,5.143641662188292,2.1518508145177973,8.146380698461524,0.95,median,qi
64,log_copies,5.218818305515712,2.340578936337602,8.275986642669931,0.95,median,qi
66,log_copies,5.342485057109918,2.3404703979825796,8.388767000885236,0.95,median,qi
69,log_copies,5.3099551508977765,2.4741172841233263,8.309701798673489,0.95,median,qi
71,log_copies,5.404693447559062,2.363032748799247,8.382920497174103,0.95,median,qi
73,log_copies,5.476756609649252,2.4274780260380293,8.460384326155893,0.95,median,qi
76,log_copies,5.522474092425599,2.553643196881325,8.402622567947693,0.95,median,qi
78,log_copies,5.587125244191771,2.6218906145455674,8.666050785462511,0.95,median,qi
80,log_copies,5.569263901345157,2.603658618219804,8.614474359543438,0.95,median,qi
83,log_copies,5.617686901122243,2.8170219119929083,8.613775219070744,0.95,median,qi
85,log_copies,5.658290939267197,2.723497478653872,8.648979450804934,0.95,median,qi
87,log_copies,5.673268188043041,2.6710989564541756,8.63424856513919,0.95,median,qi
90,log_copies,5.7580916577088965,2.7773955082614057,8.730145767265428,0.95,median,qi
92,log_copies,5.7701674040393485,2.673619126253611,8.708078726148855,0.95,median,qi
94,log_copies,5.7480576809774515,2.748284632879199,8.849530308459881,0.95,median,qi
97,log_copies,5.816129978164653,2.7878748104258735,8.972754239280617,0.95,median,qi
